番号,164,
名前,赵敏,
呼び名,赵敏,
基礎,体力,1700
基礎,気力,1600
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,2200
素質,処女,1
素質,性別,1
素質,人类,1
素質,胸圍,0;並乳
素質,ヒップサイズ,1;潤臀
素質,体型,0;並
素質,容姿,1;容姿端麗
素質,年齢,0;青年
素質,Ｖ感度,1;敏感
素質,Ｍ感度,1;敏感-喜欢亲吻
素質,Ｃ感度,0
素質,Ｂ感度,0
素質,Ａ感度,0
素質,開朗／阴郁,1;開朗
素質,性的兴趣,1;好奇心-虽然没经验但充满兴趣
素質,謎之魅力,1;天生的吸引力
素質,胆量,1;堅強-意志坚定
素質,自尊心,1;自尊心高-不会轻易屈服
素質,態度,1;叛逆-不容易被驯服
素質,快感応答,1;接受快感-乐于享受
素質,弄濕難易,1;弄濕難易-身体诚实
素質,容易高潮,1;容易高潮
素質,酒耐性,2;酒豪-千杯不醉
素質,習得速度,1;学習快
素質,小悪魔,1;小恶魔-喜欢掌控局面
素質,施虐狂,1
素質,喜歡引人注目,1
素質,把柄,1;容易被抓住把柄(对在意的人)
能力,Ｖ感覚,1
能力,Ｍ感覚,2
能力,Ｃ感覚,1
能力,親密,2
能力,欲望,3
能力,技巧,1
能力,奉仕精神,0
能力,話術技能,4
能力,教養,4
能力,舌,2
能力,腰,1
能力,指,1
能力,戦闘能力,2
経験,Ｍ経験,5;亲吻经验
経験,Ｃ経験,5
経験,接吻経験,10
経験,自慰経験,15
経験,絶頂経験,10
経験,愛情経験,10
フラグ,基本服装セット,10;服装
フラグ,地位,5000;地位
フラグ,初期位置,99;不在拠点
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1380;23時
フラグ,起床時間,360;6時
フラグ,よく行く地域,0
フラグ,自宅位置,40
フラグ,移動節度,1
CSTR,10,～元朝绍敏郡主～ ●出身：大都 ●擅长：权谋韬略、统御之术
