=== [缓存] 料理列表和助手效果 ===

--- 通用料理 ---
101 飯団 | 汎用 | 和食/米/咸/简易/質素/機能的/家庭的
102 寿司卷 | 好吃的魚,魚 | 和食/魚料理/米/咸/简易/淡白/機能的
103 河童卷 | 黄瓜 | 和食/米/野菜/咸/简易/淡白/機能的
111 法式吐司 | 卵,奇妙な卵 | 洋食/面包/卵/甜/简易/家庭的
112 司康餅 | 汎用 | 洋食/面包/甜/简易/上品/松脆
113 三明治 | 番茄,黄瓜,卵,奇妙な卵 | 洋食/面包/野菜/卵/酸/简易/健康/新鲜/機能的
114 漢堡 | 獣肉 | 洋食/面包/肉料理/獣肉/野菜/香料/乳酪/咸/丰盛/垃圾/濃厚/温暖/新鲜/機能的
115 热狗 | 獣肉 | 洋食/面包/肉料理/獣肉/香料/辣/丰盛/垃圾/濃厚/温暖/新鲜
116 煎蛋吐司 | 獣肉,卵,奇妙な卵 | 洋食/面包/肉料理/獣肉/卵/咸/丰盛/温暖/野趣/豪快
117 玉米片 | 汎用 | 洋食/牛奶/甜/简易/健康/淡白/冷/質素/機能的/松脆
118 卡路里棒 | 汎用 | 甜/简易/健康/淡白/機能的/機能的/機能的/松脆
119 爆米花 | 汎用 | 洋食/咸/垃圾/松脆
121 沙拉 | 卷心菜,番茄,胡萝卜,黄瓜,芜菁,白菜,南瓜 | 葉物/野菜/酸/简易/健康/新鲜/家庭的
122 野菜沙拉 | 山菜 | 葉物/野菜/酸/简易/健康/春物/質素/質素/野趣/野趣/家庭的
123 涼拌菜 | 芜菁,茄子,山菜 | 和食/葉物/野菜/咸/简易/健康/質素/野趣/家庭的
124 漬物 | 芜菁,黄瓜,茄子,白菜,南瓜 | 和食/葉物/開胃/野菜/咸/简易/健康/濃厚/質素/家庭的
125 米粉 | 胡萝卜,洋葱,普通的菌菇 | 中華/麺類/開胃/咸/简易/濃厚/家庭的
126 墨西哥巻餅 | 洋葱,番茄,卷心菜,獣肉 | 洋食/野菜/獣肉/香料/乳酪/辣/丰盛/濃厚/機能的/野趣/新鲜/松脆
127 奶酪番茄沙拉 | 番茄 | 洋食/葉物/野菜/乳酪/酸/简易/健康/健康/健康/芸術的/上品/新鲜
128 马苏里拉奶酪桃子色拉 | 洋葱,番茄,卷心菜,仙桃,高级食材 | 洋食/香料/乳酪/葉物/野菜/酸/健康/健康/健康/芸術的/上品/新鲜
131 煎蛋巻 | 卵,奇妙な卵 | 卵/卵/甜/简易/質素/家庭的
132 煮鸡蛋 | 卵,奇妙な卵 | 卵/卵/咸/简易/温暖/質素
133 土豆炖肉 | 獣肉,马铃薯,胡萝卜,洋葱 | 和食/煮物/肉料理/獣肉/野菜/咸/濃厚/温暖/温暖/家庭的
134 茶碗蒸 | 普通的菌菇,卵,奇妙な卵 | 和食/野菜/卵/甜/简易/健康/淡白/上品/扑鼻
135 菜肉卷 | 卷心菜 | 洋食/煮物/野菜/獣肉/酸/健康/家庭的
136 肉菜汤 | 马铃薯,洋葱,卷心菜,胡萝卜,番茄,普通的菌菇,鳥肉,野雞肉 | 洋食/煮物/野菜/鳥肉/咸/简易/健康/温暖/温暖/冬物/家庭的
137 泡菜 | 白菜 | 中華/葉物/野菜/香料/辣/辣/辣/丰盛/濃厚/温暖/野趣/新鲜
138 水煮蝗虫 | 稀有昆虫,虫 | 和食/煮物/開胃/虫肉/辣/健康/濃厚/質素/野趣/野趣/野趣/怪诞/薬効
139 蜂幼虫 | 稀有昆虫,虫 | 開胃/虫肉/咸/質素/野趣/野趣/野趣/怪诞/精力
140 鱼干 | 好吃的魚,魚 | 開胃/魚料理/咸/濃厚/質素/野趣/松脆
